,use
2018-08-31 15:00:00,9908.032
2018-08-31 16:00:00,9953.803
2018-08-31 17:00:00,10004.141
2018-08-31 18:00:00,10036.882
2018-08-31 19:00:00,10030.594
2018-08-31 20:00:00,9968.3545
2018-08-31 21:00:00,9838.866
2018-08-31 22:00:00,9635.259
2018-08-31 23:00:00,9353.725
2018-09-01 00:00:00,9266.783
2018-09-01 01:00:00,9343.628
2018-09-01 02:00:00,9371.881
2018-09-01 03:00:00,9453.552
2018-09-01 04:00:00,9631.744
2018-09-01 05:00:00,9845.315
2018-09-01 06:00:00,10005.003
2018-09-01 07:00:00,10066.354
2018-09-01 08:00:00,10043.343
2018-09-01 09:00:00,9975.668
2018-09-01 10:00:00,9895.606
2018-09-01 11:00:00,9819.813
2018-09-01 12:00:00,9757.637
2018-09-01 13:00:00,9718.24
2018-09-01 14:00:00,9709.612
2018-09-01 15:00:00,9733.292
2018-09-01 16:00:00,9780.742
2018-09-01 17:00:00,9834.015
2018-09-01 18:00:00,9870.027
2018-09-01 19:00:00,9866.146
2018-09-01 20:00:00,9804.53
2018-09-01 21:00:00,9673.571
2018-09-01 22:00:00,9466.619
2018-09-01 23:00:00,9180.4795
